Strike,Compra,Compra.1,Compra.2,Venta,Venta.1,Venta.2,Últ.,Vol.,Aper.,Máx.,Min.,Ant.,IV
"12.850,00",-,-,-,-,-,-,53600,1,53600,53600,53600,69600,500.0
"13.000,00",-,-,-,-,-,-,42700,2,49000,49000,42700,58200,500.0
"13.100,00",-,-,-,-,-,-,41700,1,41700,41700,41700,51000,500.0
"13.200,00",-,-,-,-,-,-,32500,4,30500,32500,29500,44100,500.0
"13.250,00",-,-,-,-,-,-,30000,3,29900,30000,27000,40900,500.0
"13.300,00",-,-,-,-,-,-,27000,56,32000,32000,27000,37700,500.0
"13.400,00",-,-,-,-,-,-,20500,3,20500,20500,20500,31800,500.0
"13.500,00",-,-,-,-,-,-,13800,2,13800,13800,13800,26700,500.0
"13.900,00",-,-,-,-,-,-,6000,4,6000,6000,6000,11300,500.0
