Strike,Compra,Compra.1,Compra.2,Venta,Venta.1,Venta.2,Últ.,Vol.,Aper.,Máx.,Min.,Ant.,IV_raw,IV
"12.400,00",-,-,-,-,-,-,85200,1,85200.0,85200.0,85200.0,99600.0,500.0,
"12.600,00",-,-,-,-,-,-,60900,1,60900.0,60900.0,60900.0,80700.0,500.0,
"12.850,00",-,-,-,-,-,-,40700,1,40700.0,40700.0,40700.0,58200.0,500.0,
"12.900,00",-,-,-,-,-,-,35000,2,34300.0,35000.0,34300.0,53900.0,500.0,
"13.100,00",-,-,-,-,-,-,20000,9,20200.0,24600.0,20000.0,37800.0,500.0,
"13.200,00",-,-,-,-,-,-,18000,6,19000.0,19000.0,15000.0,30500.0,500.0,
"13.250,00",-,-,-,-,-,-,12000,3,11000.0,12000.0,11000.0,27100.0,500.0,
"13.300,00",-,-,-,-,-,-,10000,5,10000.0,10000.0,9000.0,23900.0,500.0,
"13.350,00",-,-,-,-,-,-,8600,9,10000.0,10000.0,7800.0,20900.0,500.0,
"13.400,00",-,-,-,-,-,-,7600,4,15000.0,15000.0,7600.0,18200.0,500.0,
"13.450,00",-,-,-,-,-,-,4600,3,4600.0,4600.0,4600.0,15700.0,500.0,
"13.500,00",-,-,-,-,-,-,4000,5,7500.0,7500.0,4000.0,13500.0,500.0,
"13.600,00",-,-,-,-,-,-,1900,33,4000.0,4000.0,1900.0,9700.0,500.0,
"13.650,00",-,-,-,-,-,-,2500,2,1700.0,2500.0,1700.0,8100.0,500.0,
"13.700,00",-,-,-,-,-,-,1200,21,1500.0,1500.0,1200.0,6700.0,500.0,
"13.750,00",-,-,-,-,-,-,1200,7,1700.0,1700.0,1200.0,5500.0,500.0,
